phyto_class,Diatom,Diatom,Dinoflagellate,Dinoflagellate,Haptophyte,Haptophyte,Chlorophyte,Cryptophyte,Cryptophyte,Cyanophyte,Cyanophyte,NAP,CDOM
phyto_taxa,Skel,Sthal,Alex,Cerat,Luth,Parv,Dun,Rsal,Cfrag,Syma,Syn,BrnEarth,CDOM
wavelength,,,,,,,,,,,,,
480,5.62025557752048e-05,0.00042014,0.0002361545,0.0001858475,0.0006816465,0.000494907,6.65713054717794e-06,0.0002081955,0.0022355261842105373,0.0004822405,3.73328272092317e-06,0.012416881092248866,0.025722011438025494
481,5.67570601524993e-05,0.0004228435,0.000239583,0.000189713,0.0006836095,0.0005006615,6.70512710038776e-06,0.000212109,0.0022826324298245645,0.0004854905,3.79792590343152e-06,0.012501218045193913,0.025868978929534464
482,5.72787348206721e-05,0.0004248485,0.0002428865,0.000193452,0.0006846995,0.0005062445,6.75973718224903e-06,0.0002155025,0.002329738675438592,0.0004882645,3.85987245672639e-06,0.01258555499813896,0.02601594642104342
483,5.77646851171985e-05,0.000426283,0.000245983,0.0001971005,0.0006850955,0.0005117605,6.8212623869022e-06,0.0002183275,0.0023732567499999916,0.00049049,3.9188521105375e-06,0.012669891951084006,0.02616291391255239
484,5.82188647274781e-05,0.000427339,0.000248874,0.0002007535,0.000685014,0.0005173275,6.88927186557518e-06,0.0002206505,0.002401226083333324,0.000492227,3.97536592772548e-06,0.012754228904029052,0.026309881404061347
485,5.86455097430105e-05,0.0004280755,0.0002515525,0.000204432,0.0006845485,0.0005230295,6.96495045239121e-06,0.0002224675,0.002429195416666658,0.000493512,4.02985727300334e-06,0.012838565856974099,0.026456848895570317
486,5.90465264049704e-05,0.0004285965,0.000254017,0.000208137,0.0006839085,0.000529144,7.05228349849203e-06,0.000223726,0.002457164749999992,0.000494485,4.08322502277559e-06,0.012922902809919139,0.026643652621595987
487,5.94172550127083e-05,0.0004290415,0.000256264,0.0002118555,0.000683348,0.0005359045,7.15299439896596e-06,0.000224429,0.0024851340833333263,0.0004952815,4.13587610081992e-06,0.013007239762864185,0.026836214605067063
488,5.9760237221124e-05,0.0004295585,0.000258276,0.000215561,0.0006831015,0.0005433595,7.26533821628608e-06,0.0002246875,0.0025131034166666587,0.00049596,4.18793805040996e-06,0.013091576715809232,0.027028776588538153
489,6.00838746116916e-05,0.000430264,0.0002600475,0.000219227,0.0006833955,0.000551572,7.3893580353296e-06,0.0002245945,0.0025379738749999907,0.0004966055,4.24006984512603e-06,0.013173553191820397,0.027221338572009243
490,6.03930386896357e-05,0.0004312385,0.0002616025,0.0002228125,0.0006845085,0.0005606115,7.52671262386902e-06,0.000224228,0.0025519585416666577,0.0004973825,4.29330397813544e-06,0.013254635127916567,0.02741390055548032
491,6.06925303586558e-05,0.0004325495,0.0002630135,0.000226308,0.000686636,0.0005705235,7.67822059457131e-06,0.0002237025,0.0025659432083333256,0.000498489,4.34872153051928e-06,0.013335717064012736,0.02760646253895141
492,6.09886331544762e-05,0.0004342255,0.0002644175,0.000229765,0.000689777,0.0005813175,7.84327875915554e-06,0.000223172,0.0025799278749999936,0.000500129,4.40731855450957e-06,0.013416799000108913,0.027846663492279544
493,6.12855125670715e-05,0.000436297,0.0002658995,0.0002332205,0.000693974,0.000593044,8.02216716932357e-06,0.000222744,0.0025939125416666615,0.000502454,4.47004251442454e-06,0.013497880936205083,0.028136704986055444
494,6.15888873199661e-05,0.000438887,0.000267488,0.000236722,0.0006996285,0.0006059935,8.21990521327014e-06,0.0002225645,0.0026092056222222267,0.0005057245,4.54030367446098e-06,0.013578962872301252,0.028426746479831372
495,6.190031064671e-05,0.000442089,0.0002692085,0.0002403125,0.0007070845,0.0006204,8.44049978457562e-06,0.000222777,0.0026353103333333384,0.000510165,4.6209930154874e-06,0.013660044808397429,0.028709656364961797
496,6.22178763061282e-05,0.0004458095,0.000271059,0.0002439945,0.000716198,0.000636092,8.68207669108143e-06,0.000223427,0.002661415044444452,0.0005156745,4.71164287883389e-06,0.013741126744493598,0.02892651262142512
497,6.25545043772946e-05,0.0004499995,0.00027307,0.000247798,0.00072694,0.0006529615,8.94513140887549e-06,0.000224602,0.0026875197555555654,0.000522184,4.81308229577893e-06,0.013822208680589768,0.02914336887788843
498,6.29246681728325e-05,0.0004547365,0.000275358,0.0002518075,0.000739606,0.000671098,9.23332615252047e-06,0.0002264825,0.002713624466666677,0.0005297455,4.92775280898876e-06,0.013903290616685944,0.029360225134351756
499,6.33291443095171e-05,0.000460055,0.000278003,0.0002560975,0.0007543625,0.000690576,9.54900904782422e-06,0.0002291865,0.0027397291777777905,0.0005383665,5.05696325539022e-06,0.013984372552782114,0.029502503375120587
500,6.37318201073143e-05,0.0004658785,0.0002809765,0.00026070225,0.00077106675,0.0007113975,9.89071520896166e-06,0.0002326875,0.002765833888888904,0.0005479925,5.19929243850592e-06,0.014092163922678883,0.029612150433944114
501,6.4100042360915e-05,0.0004721435,0.000284249,0.000265636,0.0007895935,0.000733506,1.02558380008617e-05,0.000236969,0.0028183028750000463,0.0005585835,5.35326753720012e-06,0.014217387856752695,0.029721797492767633
502,6.44673114939283e-05,0.0004788645,0.0002877855,0.0002708665,0.0008101075,0.000756865,1.06513356311935e-05,0.000242147,0.0028812338750000416,0.0005703965,5.52396902520498e-06,0.014342611790826507,0.02983144455159116
503,6.48662807116634e-05,0.000486055,0.000291552,0.000276365,0.0008328205,0.0007814775,1.10861482119776e-05,0.000248355,0.0029441648750000438,0.00058373,5.71697843911327e-06,0.014467835724900319,0.029941091610414687
504,6.52908782829709e-05,0.0004936145,0.000295526,0.0002820945,0.000857509,0.00080719,1.15602111158983e-05,0.000255513,0.0030127518636364273,0.000598461,5.93058001822047e-06,0.01459305965897413,0.030050738669238207
505,6.57342558599266e-05,0.000501435,0.000299711,0.0002880425,0.0008838765,0.0008336995,1.20721240844464e-05,0.0002635505,0.0030941171969697603,0.0006144735,6.16307622228971e-06,0.014718283593047929,0.030144285591672097
